id,code,name,parent_id:id,type,user_type:id,reconcile
ID0,0,Company,,view,account_type_view,FALSE
aktiva,1000,AKTIVA,ID0,view,account_type_asset_view,FALSE
cash_expenditure,1110,KAS,aktiva,view,account_type_asset_view,FALSE
1111,1111,[UD] KAS BLUSTRU,cash_expenditure,view,account_type_asset_view,FALSE
111111,111111,[UD] KAS SETORAN BLUSTRU,1111,liquidity,account_type_cash,FALSE
111112,111112,[UD] KAS BESAR BLUSTRU,1111,liquidity,account_type_cash,FALSE
111113,111113,[UD] KAS KECIL BLUSTRU,1111,liquidity,account_type_cash,FALSE
1112,1112,[UD] KAS LTC,cash_expenditure,view,account_type_asset_view,FALSE
111211,111211,[UD] KAS SETORAN LTC,1112,liquidity,account_type_cash,FALSE
111212,111212,[UD] KAS BESAR LTC,1112,liquidity,account_type_cash,FALSE
111213,111213,[UD] KAS KECIL LTC,1112,liquidity,account_type_cash,FALSE
1113,1113,[UD] KAS INDUSTRI,cash_expenditure,view,account_type_asset_view,FALSE
111311,111311,[UD] KAS SETORAN INDUSTRI,1113,liquidity,account_type_cash,FALSE
111312,111312,[UD] KAS BESAR INDUSTRI,1113,liquidity,account_type_cash,FALSE
111313,111313,[UD] KAS KECIL INDUSTRI,1113,liquidity,account_type_cash,FALSE
1114,1114,[PT] KAS PT SMJ,cash_expenditure,view,account_type_asset_view,FALSE
111411,111411,[PT] KAS SETORAN SMJ,1114,liquidity,account_type_cash,FALSE
1120,1120,BANK,aktiva,view,account_type_asset_view,FALSE
1121,1121,[UD] REKENING BLUSTRU,1120,view,account_type_asset_view,FALSE
112111,112111,[UD] BBA 7887,1121,liquidity,account_type_bank,FALSE
112112,112112,[UD] BLUSTRU BCA,1121,liquidity,account_type_bank,FALSE
112113,112113,[UD] BLUSTRU D.BCA,1121,liquidity,account_type_bank,FALSE
112114,112114,[UD] BLUSTRU MANDIRI,1121,liquidity,account_type_bank,FALSE
